,В каком разделе НКРЯ в теории может быть полезен?,Название,"Объём (входы, слова, страницы)",Авторы,Редакторы,Издательство,Unnamed: 22
46,акцентологический,Давайте говорить правильно! : трудности современного русского произношения и ударения : краткий словарь-справочник,146 стр.,"Л. А. Вербицкая, Н. В. Богданова, Г. Н. Скляревская",С. И. Богданов,"Издательский центр ""Академия""","Вербицкая Л. А., Богданова Н. В., Скляревская Г. Н. Давайте говорить правильно! (2008).pdf"
47,акцентологический,Русское словесное ударение: словарь : около 50 000 слов,594 стр,М. В. Зарва,М. В. Зарва,Издательство НЦ ЭНАС,
48,акцентологический,"Словарь ударений русского языка: 82,500 словарных единиц",807 стр.,Ф. Л. Агеенко,М. А. Штудинер,Айрис Пресс,
49,акцентологический,"Орфоэпический словарь современного русского
языка",512 стр.,М. Н Свиридова,М. Н Свиридова,Аделант,http://uchitel-slovesnosti.ru/slovari/4.pdf 
50,диалектный,Словарь областного архангельского наречия в его областном и этнографическом применении,197 стр.,А. И. Подвысоцкий,2-е отделение Императорской Академии наук (без конкретных имён),,"Ссылка на страницу ВОУНБ, где есть pdf словаря: https://www.booksite.ru/fulltext/podvysoz/index.html"
51,диалектный,Архангельский областной словарь,Словарных статей: 1332 (Том 1); 2546 (Том 2); 1313 (Том 3); 1528 (Том 4); 1653 (Том 5); 1070 (Том 6); 952 (Том 7); 2177 (Том 8); 2480 (Том 9); 2262 (Том 10); 2951 (Том 11); 2514 (Том 12); 2210 (Том 13); 950 (Том 14); 1796 (Том 15); 1843 (Том 16); 1834 (Том 17); 1840 (Том 18); 2071 (Том 19); 2077(Том 20); 2012 (Том 21),"Н. А. Артамонова, О. Г. Гецова, Е. А. Нефедова (Том 1); О. Г. Гецова, Е. А. Нефедова (Том 2); Н. А. Артамонова, О. Г. Гецова, О. А. Шувалова (Том 3); Н. А. Артамонова, О. Г. Гецова (Том 4); Н. А. Артамонова, О.Г. Гецова, Е. А. Нефедова, О. А. Шувалова (Том 5); Н. А. Артамонова, О. Г. Гецова, Е. А. Нефедова, О. А. Шувалова (Том 6-7); Н. А. Артамонова, О. Г. Гецова, Е. А. Нефедова (Том 8); Н. А. Артамонова, О. Г. Гецова, Р. С. Кимягарова, Е. А. Нефедова (Том 9); Н. А. Артамонова, О. Г. Гецова, И. Б. Качинская, Р. С. Кимягарова, О. А. Маховая, Е. А. Нефедова (Том 10); Н. А. Артамонова, О. Г. Гецова, И. Б. Качинская, Е. Е. Королева, О. А. Маховая Е. А. Нефедова (Том 11); Н. А. Артамонова, О. Г. Гецова, И. Б. Качинская, Е. Е. Королева, О. А. Маховая, О. А. Шувалова (Том 12); Н. А. Артамонова, О. Г. Гецова, И. Б. Качинская, А. В. Малышева, О. А. Маховая, Е. А. Нефедова, О. Н. Николаева, Е. В. Проколова (Том 13); Н. А. Артамонова, О. Г. Гецова, И. Б. Качинская, О.А. Маховая, Е. А. Нефедова (Том 14); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская, А.Б. Коконова, А.В. Малышева, О.А. Маховая, Е.А. Нефедова, О.Н. Николаева, Е.В. Проколова (Том 15); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская, А.Б. Коконова, А.В. Малышева, О.А. Маховая, Е.А. Нефедова, О.Н. Николаева, Е.В. Проколова (Том 16); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская,  А.Б. Коконова, А.В. Малышева, О.А. Маховая,  Е.А. Нефедова, О.Н. Николаева, Е.В. Проколова (Том 17); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская,  А.Б. Коконова, А.В. Малышева, О.А. Маховая,  Е.А. Нефедова, О.Н. Николаева, Ж. А. Панина, Е.В. Проколова (Том 18); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская,  Е. А. Ковригина, А.Б. Коконова, О.Н. Маркелова, О.А. Маховая, Е.А. Нефедова, Ж. А. Панина, Е.В. Проколова (Том 19); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская,  Е. А. Ковригина, А.Б. Коконова, О.Н. Маркелова, О.А. Маховая, Е.А. Нефедова, Ж. А. Панина, Е.В. Проколова (Том 20); Н.А. Артамонова, О.Г. Гецова, И.Б. Качинская,  Е. А. Ковригина, А.Б. Коконова, А.В. Малышева, О.Н. Маркелова, О.А. Маховая, Е.А. Нефедова, Ж. А. Панина, Е.В. Проколова (Том 21) ","О. Г. Гецова (тома 1 - 12); О. Г. Гецова, Е. А. Нефедова (тома 13 - 15); Е. А. Нефедова (тома 16 - 21)",Издательство Московского государственного университета имени М. В. Ломоносова,https://www.philol.msu.ru/~dialectology/dictionary/
52,диалектный,Словарь областного вологодского наречия: по рукописи П. А. Дилакторского,14320 словарных статей,П. А. Дилакторский,"А.Н. Левичкин, С.А. Мызников",Наука,https://nenadict.iling.spb.ru/publications/2019
53,диалектный,Словарь живого поморского языка в его бытовом и этнографическом применении,455 стр. (~ 12000 словарных статей),И. М. Дуров,"И. И. Муллонен (ответственный редактор), В. П. Кузнецова, А. Е. Беликова",Карельский научный центр РАН,"Ссылка на страницу ВОУНБ, где есть pdf словаря: https://www.booksite.ru/fulltext/durov/index.htm"
54,диалектный,Словарь русских народных говоров,,"Н. И. Андреева-Васина, И. В. Бакланова, Л. И. Балаханова, Ю. Ф. Денисенко, Т. Н. Дорогутина, Е. В. Колосько, Л. Е. Кругликова, О. Н. Крылова, О. Д. Кузнецова, Т. Е. Лебедева, И. А. Магин, А. Ф. Марецкая, С. А. Мызников, Р. В. Одеков, А. А. Орехов, П. А. Павленко, В. О. Петрунин, И. А. Попов, Н. В. Попова, О. Г. Порохова, Н. А. Романова, Ф. П. Сороколетов, Е. И. Сьянов, Л. И. Царёва, Е. Н. Этерлей, Т. Б. Юмсунова.","Ф.П. Филин, Ф. П. Сороколетов, С. А. Мызников","Издательство ""Наука""",
55,мультимедийный,Жесты и мимика в русской речи: Лингвострановедческий словарь,152 стр.,"Акишина А. А., Хироко К.,  Акишина Т. Е.",,Ленанд,
56,мультимедийный,Толковый словарь языка жестов,223 стр.,"Армстронг Ненси, Вагнер Мелисса",Панов В. Г.,Астрель,
57,мультимедийный,Словарь терминов современного искусства на русском жестовом языке,104 стр.,"Колесников В., Митюшина А., Лазарева Е.",Извеков А.,"Музей современного искусства ""Гараж""",
58,мультимедийный,Словарь языка японских жестов,144 стр.,Резникова Т. Б.,,Восточная книга,
59,мультимедийный,Русско-жестовый словарь,-,Харламенков А. Е.,-,-,https://slovar.surdocentr.ru/rus
60,мультимедийный,Жесты и мимика в общении японцев,176 стр.,Тумаркин П. С.,Ошуркова И. М.,Русский язык - Медиа,Есть ссылка на словарь онлайн или в формате DJV: https://www.klex.ru/1f11
61,мультимедийный,Краткий словарь русского жестового языка,206 стр.,Ватага С. Г.,Овичинникова Т. В.,ИНФРА-М,Тут можно посмотреть ознакомительный фрагмент: https://znanium.ru/catalog/document?id=433286#ant
62,мультимедийный,Жестово-русский словарь,-,Харламенков А. Е.,-,-,https://slovar.surdocentr.ru/
63,мультимедийный,Словарь языка русских жестов,256 стр.,"Григорьева С. А., Григорьев  Н. В., Крейдлин Г. Е.",,Языки русской культуры,Тут можно скачать pdf: https://www.klex.ru/moj
64,мультимедийный,Словарь русского жестового языка,528 стр.,"Базоев В. З., Егорова И. А., Гаврилова Г. Н.",-,Флинта,
65,соцсети,"Большой словарь русского жаргона: 25000 слов, 7000 устойчивый сочетаний","25 тыс. слов, 7 тыс. устойчивых выражений, 716 с.","В. М. Мокиенко, Т. Г. Никитина",нет информации,Норинт,
66,соцсети,Новый словарь сокращений,"32 тыс. входов, 668 с.","Е. Г. Коваленко, Л. Б. Бернштейн",Е. Г. Коваленко,ЭТС,
67,соцсети,"Русское сквернословие. Краткий, но выразительный словарь",384 стр.,"Мокиенко В. М., Никитина Т. Г.",Г. А. Лилич,"ЗАО ""ОЛМА Медиа Групп""",
68,соцсети,Толковый словарь русской разговорной речи,"Вып. 1: около 3200 словарных статей, 776 страниц; Вып. 2: около 3500 словарных статей, 864 страницы; Вып. 3: около 2500 словарных статей, 824 страницы; Вып. 4: около 2500 словарных статей, 680 страниц; Вып. 5: около 2300 словарных статей, 760 страниц","
Вып. 1: А — И: М. Я. Головинская, Е. И. Голанова, О. П. Ермакова, А. В. Занадворова, Е. В. Какорина, М. В. Китайгордская, Л. П. Крысин, С. М. Кузьмина, И. В. Нечаева, А. Р. Пестова, Н. Н. Розанова, Р. И. Розина; Вып. 2. К—О:  М. Я. Гловинская, Е. И. Голанова, О. П. Ермакова, А. В. Занадворова, Е. В. Какорина, Л. П. Крысин, И. В. Нечаева, Е. А. Никишина, А. Р. Пестова. Н. Н. Розанова. Р. И. Розина, О. А. Шарыкина; Вып. 3. П—Р: М. Я. Гловинская, Е. И. Голанова, О. П. Ермакова, А. В. Занадворова, Е. В. Какорина, Л. П. Крысин, Е. А. Никишина, А. Р. Пестова. Н. Н. Розанова. Р. И. Розина, О. А. Шарыкина; Вып. 4: С — Т: Е. И. Голанова, О. П. Ермакова, А. В. Занадворова, Е. В. Какорина, Л. П. Крысин, Е. А. Никишина, А. Р. Пестова, Н. Н. Розанова, Р. И. Розина, О. А. Шарыкина; Вып. 5: У-Я: Голанова Е. И., Ермакова О. П., Жидкова Е. Г., Занадворова А. В., Какорина Е. В., Леонид Петрович Крысин, Никишина Е. А., Пестова А. Р., Розанова Н. Н., Розина Р. И., Шарыкина О. А.",Л. П. Крысин,"Вып. 1: Языки славянской культуры, Вып. 2, 3, 4: Издательский Дом ЯСК, Вып. 5: Нестор-история",нашла в пдф 3 тома
69,соцсети,"Молодежный сленг: толковый словарь: около 20 000 слов и фразеологизмов. 2-е изд., испр. и доп.",1104 стр.,Никитина Т. Г.,Зорина Е. Е.,АСТ,
70,соцсети,Русский мат. Толковый словарь,576 страниц,Татьяна Васильевна Ахметова,-,Колокол-пресс,
71,соцсети,Словарь языка интернета. ru,288 страниц; более 200 статей,"Кронгауз М.А., Литвин Е.А., Мерзлякова В.Н., Пиперски А.Ч.",Кронгауз М.А.,АСТ-Пресс,
72,соцсети,Словарь молодёжного сленга,126 стр.,"Л. А. Захарова, А. В. Шуваева",,Издательский Дом Томского государственного университета,https://vital.lib.tsu.ru/vital/access/services/Download/vtls:000488551/SOURCE1
73,соцсети,Большой словарь мата,Т. 1: 390 стр.,"А. Ю. Плуцер-Сарно, В. П. Руднева, А. Д. Дуличенко",-,Лимбус Пресс,
74,исторические,Материалы для словаря древнерусского языка по письменным памятникам,более 40000 словарных статей,И. И. Срезневский,"О. И. Срезневская, В. И. Срезневский",Книга,http://oldrusdict.ru/
